movie,year,imdb,metascore,votes
Gladiator,(2000),8.5,67,1333828
Memento,(2000),8.4,80,1119827
Snatch,(2000),8.3,55,778266
Requiem for a Dream,(2000),8.3,68,762712
X-Men,(2000),7.4,64,568731
Cast Away,(2000),7.8,73,520708
American Psycho,(2000),7.6,64,486231
Unbreakable,(2000),7.3,62,385503
Mission: Impossible II,(2000),6.1,59,313430
Meet the Parents,(2000),7.0,73,310049
"O Brother, Where Art Thou?",(2000),7.7,69,284161
Gone in Sixty Seconds,(2000),6.5,35,259731
The Patriot,(2000),7.2,63,253692
Wo hu cang long,(2000),7.8,94,252102
Almost Famous,(2000),7.9,90,251509
Scary Movie,(2000),6.2,48,231451
Final Destination,(2000),6.7,36,228852
Pitch Black,(2000),7.1,49,224839
Amores perros,(2000),8.1,83,222688
The Beach,(I) (2000),6.7,43,222130
"Me, Myself & Irene",(2000),6.6,49,221635
How the Grinch Stole Christmas,(2000),6.2,46,213918
Remember the Titans,(2000),7.8,48,197146
Traffic,(2000),7.6,86,195145
What Women Want,(2000),6.4,47,191001
Miss Congeniality,(2000),6.3,43,186904
The Emperor's New Groove,(2000),7.4,70,179261
Chocolat,(2000),7.2,64,177221
Chicken Run,(2000),7.0,88,176451
Charlie's Angels,(2000),5.5,52,175748
Erin Brockovich,(2000),7.3,73,173760
Batoru rowaiaru,(2000),7.6,81,168482
High Fidelity,(2000),7.5,79,167616
Road Trip,(2000),6.4,55,157512
The Perfect Storm,(2000),6.4,59,155759
"Dude, Where's My Car?",(2000),5.5,30,134100
Billy Elliot,(2000),7.7,74,126256
Scream 3,(2000),5.6,56,123538
Hollow Man,(2000),5.8,24,123316
Fa yeung nin wah,(2000),8.1,85,123170
Shanghai Noon,(2000),6.6,77,118814
What Lies Beneath,(2000),6.6,51,117502
The 6th Day,(2000),5.9,49,116239
Pay It Forward,(2000),7.2,40,112473
The Whole Nine Yards,(2000),6.7,47,109725
Men of Honor,(2000),7.2,56,106732
Coyote Ugly,(2000),5.7,27,106207
The Family Man,(2000),6.8,42,103590
Dancer in the Dark,(2000),8.0,61,101783
Gladiator,(2000),8.5,67,1333828
Memento,(2000),8.4,80,1119827
Snatch,(2000),8.3,55,778266
Requiem for a Dream,(2000),8.3,68,762712
X-Men,(2000),7.4,64,568731
Cast Away,(2000),7.8,73,520708
American Psycho,(2000),7.6,64,486231
Unbreakable,(2000),7.3,62,385503
Mission: Impossible II,(2000),6.1,59,313430
Meet the Parents,(2000),7.0,73,310049
"O Brother, Where Art Thou?",(2000),7.7,69,284161
Gone in Sixty Seconds,(2000),6.5,35,259731
The Patriot,(2000),7.2,63,253692
Wo hu cang long,(2000),7.8,94,252102
Almost Famous,(2000),7.9,90,251509
Scary Movie,(2000),6.2,48,231451
Final Destination,(2000),6.7,36,228852
Pitch Black,(2000),7.1,49,224839
Amores perros,(2000),8.1,83,222688
The Beach,(I) (2000),6.7,43,222130
"Me, Myself & Irene",(2000),6.6,49,221635
How the Grinch Stole Christmas,(2000),6.2,46,213918
Remember the Titans,(2000),7.8,48,197146
Traffic,(2000),7.6,86,195145
What Women Want,(2000),6.4,47,191001
Miss Congeniality,(2000),6.3,43,186904
The Emperor's New Groove,(2000),7.4,70,179261
Chocolat,(2000),7.2,64,177221
Chicken Run,(2000),7.0,88,176451
Charlie's Angels,(2000),5.5,52,175748
Erin Brockovich,(2000),7.3,73,173760
Batoru rowaiaru,(2000),7.6,81,168482
High Fidelity,(2000),7.5,79,167616
Road Trip,(2000),6.4,55,157512
The Perfect Storm,(2000),6.4,59,155759
"Dude, Where's My Car?",(2000),5.5,30,134100
Billy Elliot,(2000),7.7,74,126256
Scream 3,(2000),5.6,56,123538
Hollow Man,(2000),5.8,24,123316
Fa yeung nin wah,(2000),8.1,85,123170
Shanghai Noon,(2000),6.6,77,118814
What Lies Beneath,(2000),6.6,51,117502
The 6th Day,(2000),5.9,49,116239
Pay It Forward,(2000),7.2,40,112473
The Whole Nine Yards,(2000),6.7,47,109725
Men of Honor,(2000),7.2,56,106732
Coyote Ugly,(2000),5.7,27,106207
The Family Man,(2000),6.8,42,103590
Dancer in the Dark,(2000),8.0,61,101783
Gladiator,(2000),8.5,67,1333828
Memento,(2000),8.4,80,1119827
Snatch,(2000),8.3,55,778266
Requiem for a Dream,(2000),8.3,68,762712
X-Men,(2000),7.4,64,568731
Cast Away,(2000),7.8,73,520708
American Psycho,(2000),7.6,64,486231
Unbreakable,(2000),7.3,62,385503
Mission: Impossible II,(2000),6.1,59,313430
Meet the Parents,(2000),7.0,73,310049
"O Brother, Where Art Thou?",(2000),7.7,69,284161
Gone in Sixty Seconds,(2000),6.5,35,259731
The Patriot,(2000),7.2,63,253692
Wo hu cang long,(2000),7.8,94,252102
Almost Famous,(2000),7.9,90,251509
Scary Movie,(2000),6.2,48,231451
Final Destination,(2000),6.7,36,228852
Pitch Black,(2000),7.1,49,224839
Amores perros,(2000),8.1,83,222688
The Beach,(I) (2000),6.7,43,222130
"Me, Myself & Irene",(2000),6.6,49,221635
How the Grinch Stole Christmas,(2000),6.2,46,213918
Remember the Titans,(2000),7.8,48,197146
Traffic,(2000),7.6,86,195145
What Women Want,(2000),6.4,47,191001
Miss Congeniality,(2000),6.3,43,186904
The Emperor's New Groove,(2000),7.4,70,179261
Chocolat,(2000),7.2,64,177221
Chicken Run,(2000),7.0,88,176451
Charlie's Angels,(2000),5.5,52,175748
Erin Brockovich,(2000),7.3,73,173760
Batoru rowaiaru,(2000),7.6,81,168482
High Fidelity,(2000),7.5,79,167616
Road Trip,(2000),6.4,55,157512
The Perfect Storm,(2000),6.4,59,155759
"Dude, Where's My Car?",(2000),5.5,30,134100
Billy Elliot,(2000),7.7,74,126256
Scream 3,(2000),5.6,56,123538
Hollow Man,(2000),5.8,24,123316
Fa yeung nin wah,(2000),8.1,85,123170
Shanghai Noon,(2000),6.6,77,118814
What Lies Beneath,(2000),6.6,51,117502
The 6th Day,(2000),5.9,49,116239
Pay It Forward,(2000),7.2,40,112473
The Whole Nine Yards,(2000),6.7,47,109725
Men of Honor,(2000),7.2,56,106732
Coyote Ugly,(2000),5.7,27,106207
The Family Man,(2000),6.8,42,103590
Dancer in the Dark,(2000),8.0,61,101783
Gladiator,(2000),8.5,67,1333828
Memento,(2000),8.4,80,1119827
Snatch,(2000),8.3,55,778266
Requiem for a Dream,(2000),8.3,68,762712
X-Men,(2000),7.4,64,568731
Cast Away,(2000),7.8,73,520708
American Psycho,(2000),7.6,64,486231
Unbreakable,(2000),7.3,62,385503
Mission: Impossible II,(2000),6.1,59,313430
Meet the Parents,(2000),7.0,73,310049
"O Brother, Where Art Thou?",(2000),7.7,69,284161
Gone in Sixty Seconds,(2000),6.5,35,259731
The Patriot,(2000),7.2,63,253692
Wo hu cang long,(2000),7.8,94,252102
Almost Famous,(2000),7.9,90,251509
Scary Movie,(2000),6.2,48,231451
Final Destination,(2000),6.7,36,228852
Pitch Black,(2000),7.1,49,224839
Amores perros,(2000),8.1,83,222688
The Beach,(I) (2000),6.7,43,222130
"Me, Myself & Irene",(2000),6.6,49,221635
How the Grinch Stole Christmas,(2000),6.2,46,213918
Remember the Titans,(2000),7.8,48,197146
Traffic,(2000),7.6,86,195145
What Women Want,(2000),6.4,47,191001
Miss Congeniality,(2000),6.3,43,186904
The Emperor's New Groove,(2000),7.4,70,179261
Chocolat,(2000),7.2,64,177221
Chicken Run,(2000),7.0,88,176451
Charlie's Angels,(2000),5.5,52,175748
Erin Brockovich,(2000),7.3,73,173760
Batoru rowaiaru,(2000),7.6,81,168482
High Fidelity,(2000),7.5,79,167616
Road Trip,(2000),6.4,55,157512
The Perfect Storm,(2000),6.4,59,155759
"Dude, Where's My Car?",(2000),5.5,30,134100
Billy Elliot,(2000),7.7,74,126256
Scream 3,(2000),5.6,56,123538
Hollow Man,(2000),5.8,24,123316
Fa yeung nin wah,(2000),8.1,85,123170
Shanghai Noon,(2000),6.6,77,118814
What Lies Beneath,(2000),6.6,51,117502
The 6th Day,(2000),5.9,49,116239
Pay It Forward,(2000),7.2,40,112473
The Whole Nine Yards,(2000),6.7,47,109725
Men of Honor,(2000),7.2,56,106732
Coyote Ugly,(2000),5.7,27,106207
The Family Man,(2000),6.8,42,103590
Dancer in the Dark,(2000),8.0,61,101783
The Lord of the Rings: The Fellowship of the Ring,(2001),8.8,92,1650465
A Beautiful Mind,(2001),8.2,72,843952
"Monsters, Inc.",(2001),8.1,79,810793
Donnie Darko,(2001),8.0,88,737277
Amélie,(2001),8.3,69,700691
Harry Potter and the Sorcerer's Stone,(2001),7.6,64,650430
Sen to Chihiro no kamikakushi,(2001),8.6,96,645451
Shrek,(2001),7.8,84,610851
Ocean's Eleven,(2001),7.7,74,513727
Training Day,(2001),7.7,69,387994
Black Hawk Down,(2001),7.7,74,362861
The Fast and the Furious,(2001),6.8,58,346166
The Others,(2001),7.6,74,335750
Mulholland Dr.,(2001),7.9,85,319760
Pearl Harbor,(2001),6.2,44,310507
The Mummy Returns,(2001),6.4,48,299701
Jurassic Park III,(2001),5.9,42,294961
A.I. Artificial Intelligence,(2001),7.2,65,289426
Moulin Rouge!,(2001),7.6,66,265841
The Royal Tenenbaums,(2001),7.6,76,265499
Hannibal,(2001),6.8,57,253635
Vanilla Sky,(2001),6.9,45,247965
Zoolander,(2001),6.5,61,245441
Enemy at the Gates,(2001),7.6,53,242606
Blow,(2001),7.6,52,239770
American Pie 2,(2001),6.4,43,239214
Bridget Jones's Diary,(2001),6.7,66,224248
Planet of the Apes,(2001),5.7,50,209764
Rush Hour 2,(2001),6.6,48,199059
Lara Croft: Tomb Raider,(2001),5.8,33,197285
Legally Blonde,(2001),6.3,59,184573
Swordfish,(2001),6.5,32,175781
K-PAX,(2001),7.4,49,174713
A Knight's Tale,(2001),6.9,56,170885
Scary Movie 2,(2001),5.3,29,149159
Jay and Silent Bob Strike Back,(2001),6.8,51,148103
From Hell,(2001),6.8,54,146402
Spy Game,(2001),7.1,63,144522
I Am Sam,(2001),7.7,28,142488
The Princess Diaries,(2001),6.3,52,127745
Shallow Hal,(2001),5.9,48,126677
The Score,(2001),6.8,71,120786
Evolution,(2001),6.1,40,119088
Y tu mamá también,(2001),7.6,88,115379
Ghost World,(2001),7.3,88,112778
The Lord of the Rings: The Fellowship of the Ring,(2001),8.8,92,1650465
A Beautiful Mind,(2001),8.2,72,843952
"Monsters, Inc.",(2001),8.1,79,810793
Donnie Darko,(2001),8.0,88,737277
Amélie,(2001),8.3,69,700691
Harry Potter and the Sorcerer's Stone,(2001),7.6,64,650430
Sen to Chihiro no kamikakushi,(2001),8.6,96,645451
Shrek,(2001),7.8,84,610851
Ocean's Eleven,(2001),7.7,74,513727
Training Day,(2001),7.7,69,387994
Black Hawk Down,(2001),7.7,74,362861
The Fast and the Furious,(2001),6.8,58,346166
The Others,(2001),7.6,74,335750
Mulholland Dr.,(2001),7.9,85,319760
Pearl Harbor,(2001),6.2,44,310507
The Mummy Returns,(2001),6.4,48,299701
Jurassic Park III,(2001),5.9,42,294961
A.I. Artificial Intelligence,(2001),7.2,65,289426
Moulin Rouge!,(2001),7.6,66,265841
The Royal Tenenbaums,(2001),7.6,76,265499
Hannibal,(2001),6.8,57,253635
Vanilla Sky,(2001),6.9,45,247965
Zoolander,(2001),6.5,61,245441
Enemy at the Gates,(2001),7.6,53,242606
Blow,(2001),7.6,52,239770
American Pie 2,(2001),6.4,43,239214
Bridget Jones's Diary,(2001),6.7,66,224248
Planet of the Apes,(2001),5.7,50,209764
Rush Hour 2,(2001),6.6,48,199059
Lara Croft: Tomb Raider,(2001),5.8,33,197285
Legally Blonde,(2001),6.3,59,184573
Swordfish,(2001),6.5,32,175781
K-PAX,(2001),7.4,49,174713
A Knight's Tale,(2001),6.9,56,170885
Scary Movie 2,(2001),5.3,29,149159
Jay and Silent Bob Strike Back,(2001),6.8,51,148103
From Hell,(2001),6.8,54,146402
Spy Game,(2001),7.1,63,144522
I Am Sam,(2001),7.7,28,142488
The Princess Diaries,(2001),6.3,52,127745
Shallow Hal,(2001),5.9,48,126677
The Score,(2001),6.8,71,120786
Evolution,(2001),6.1,40,119088
Y tu mamá también,(2001),7.6,88,115379
Ghost World,(2001),7.3,88,112778
The Lord of the Rings: The Fellowship of the Ring,(2001),8.8,92,1650465
A Beautiful Mind,(2001),8.2,72,843952
"Monsters, Inc.",(2001),8.1,79,810793
Donnie Darko,(2001),8.0,88,737277
Amélie,(2001),8.3,69,700691
Harry Potter and the Sorcerer's Stone,(2001),7.6,64,650430
Sen to Chihiro no kamikakushi,(2001),8.6,96,645451
Shrek,(2001),7.8,84,610851
Ocean's Eleven,(2001),7.7,74,513727
Training Day,(2001),7.7,69,387994
Black Hawk Down,(2001),7.7,74,362861
The Fast and the Furious,(2001),6.8,58,346166
The Others,(2001),7.6,74,335750
Mulholland Dr.,(2001),7.9,85,319760
Pearl Harbor,(2001),6.2,44,310507
The Mummy Returns,(2001),6.4,48,299701
Jurassic Park III,(2001),5.9,42,294961
A.I. Artificial Intelligence,(2001),7.2,65,289426
Moulin Rouge!,(2001),7.6,66,265841
The Royal Tenenbaums,(2001),7.6,76,265499
Hannibal,(2001),6.8,57,253635
Vanilla Sky,(2001),6.9,45,247965
Zoolander,(2001),6.5,61,245441
Enemy at the Gates,(2001),7.6,53,242606
Blow,(2001),7.6,52,239770
American Pie 2,(2001),6.4,43,239214
Bridget Jones's Diary,(2001),6.7,66,224248
Planet of the Apes,(2001),5.7,50,209764
Rush Hour 2,(2001),6.6,48,199059
Lara Croft: Tomb Raider,(2001),5.8,33,197285
Legally Blonde,(2001),6.3,59,184573
Swordfish,(2001),6.5,32,175781
K-PAX,(2001),7.4,49,174713
A Knight's Tale,(2001),6.9,56,170885
Scary Movie 2,(2001),5.3,29,149159
Jay and Silent Bob Strike Back,(2001),6.8,51,148103
From Hell,(2001),6.8,54,146402
Spy Game,(2001),7.1,63,144522
I Am Sam,(2001),7.7,28,142488
The Princess Diaries,(2001),6.3,52,127745
Shallow Hal,(2001),5.9,48,126677
The Score,(2001),6.8,71,120786
Evolution,(2001),6.1,40,119088
Y tu mamá también,(2001),7.6,88,115379
Ghost World,(2001),7.3,88,112778
The Lord of the Rings: The Fellowship of the Ring,(2001),8.8,92,1650465
A Beautiful Mind,(2001),8.2,72,843952
"Monsters, Inc.",(2001),8.1,79,810793
Donnie Darko,(2001),8.0,88,737277
Amélie,(2001),8.3,69,700691
Harry Potter and the Sorcerer's Stone,(2001),7.6,64,650430
Sen to Chihiro no kamikakushi,(2001),8.6,96,645451
Shrek,(2001),7.8,84,610851
Ocean's Eleven,(2001),7.7,74,513727
Training Day,(2001),7.7,69,387994
Black Hawk Down,(2001),7.7,74,362861
The Fast and the Furious,(2001),6.8,58,346166
The Others,(2001),7.6,74,335750
Mulholland Dr.,(2001),7.9,85,319760
Pearl Harbor,(2001),6.2,44,310507
The Mummy Returns,(2001),6.4,48,299701
Jurassic Park III,(2001),5.9,42,294961
A.I. Artificial Intelligence,(2001),7.2,65,289426
Moulin Rouge!,(2001),7.6,66,265841
The Royal Tenenbaums,(2001),7.6,76,265499
Hannibal,(2001),6.8,57,253635
Vanilla Sky,(2001),6.9,45,247965
Zoolander,(2001),6.5,61,245441
Enemy at the Gates,(2001),7.6,53,242606
Blow,(2001),7.6,52,239770
American Pie 2,(2001),6.4,43,239214
Bridget Jones's Diary,(2001),6.7,66,224248
Planet of the Apes,(2001),5.7,50,209764
Rush Hour 2,(2001),6.6,48,199059
Lara Croft: Tomb Raider,(2001),5.8,33,197285
Legally Blonde,(2001),6.3,59,184573
Swordfish,(2001),6.5,32,175781
K-PAX,(2001),7.4,49,174713
A Knight's Tale,(2001),6.9,56,170885
Scary Movie 2,(2001),5.3,29,149159
Jay and Silent Bob Strike Back,(2001),6.8,51,148103
From Hell,(2001),6.8,54,146402
Spy Game,(2001),7.1,63,144522
I Am Sam,(2001),7.7,28,142488
The Princess Diaries,(2001),6.3,52,127745
Shallow Hal,(2001),5.9,48,126677
The Score,(2001),6.8,71,120786
Evolution,(2001),6.1,40,119088
Y tu mamá también,(2001),7.6,88,115379
Ghost World,(2001),7.3,88,112778
The Lord of the Rings: The Two Towers,(2002),8.7,87,1477057
Catch Me If You Can,(2002),8.1,75,823115
The Pianist,(2002),8.5,85,724559
Cidade de Deus,(2002),8.6,79,696264
Spider-Man,(2002),7.3,73,684994
Star Wars: Episode II - Attack of the Clones,(2002),6.5,54,638711
Harry Potter and the Chamber of Secrets,(2002),7.4,63,550592
The Bourne Identity,(2002),7.9,68,506622
Minority Report,(2002),7.6,80,506332
Ice Age,(2002),7.5,60,439818
Gangs of New York,(2002),7.5,72,403638
28 Days Later...,(2002),7.6,73,375381
Men in Black II,(2002),6.2,49,342246
Signs,(2002),6.7,59,335666
The Ring,(2002),7.1,57,320177
Equilibrium,(2002),7.4,33,310766
The Transporter,(2002),6.8,51,283954
Insomnia,(2002),7.2,78,273952
Panic Room,(2002),6.8,65,257658
Red Dragon,(2002),7.2,60,251554
Phone Booth,(2002),7.0,56,250143
8 Mile,(2002),7.1,77,248641
Resident Evil,(2002),6.7,33,246691
Road to Perdition,(2002),7.7,72,245666
Chicago,(2002),7.1,81,215128
Die Another Day,(2002),6.1,56,204364
Blade II,(2002),6.7,52,199106
A Walk to Remember,(2002),7.4,35,198707
Austin Powers in Goldmember,(2002),6.2,62,194995
Adaptation.,(2002),7.7,83,177668
Ying xiong,(2002),7.9,85,173592
xXx,(2002),5.9,48,172735
About a Boy,(2002),7.0,75,171928
25th Hour,(2002),7.6,68,169293
Lilo & Stitch,(2002),7.2,73,167535
Punch-Drunk Love,(2002),7.3,78,146998
Bowling for Columbine,(2002),7.9,72,139495
Mr. Deeds,(2002),5.8,24,135861
The Scorpion King,(2002),5.5,45,130023
We Were Soldiers,(2002),7.2,65,129711
The Count of Monte Cristo,(2002),7.8,61,128560
Reign of Fire,(2002),6.2,39,126037
The Hours,(2002),7.5,80,123966
John Q,(2002),7.1,30,123218
About Schmidt,(2002),7.1,85,122146
