,movie,year,imdb,metascore,votes,n_imdb
0,Gladiator,2000,8.5,67,1333828,85.0
1,Memento,2000,8.4,80,1119827,84.0
2,Snatch,2000,8.3,55,778266,83.0
3,Requiem for a Dream,2000,8.3,68,762712,83.0
4,X-Men,2000,7.4,64,568731,74.0
5,Cast Away,2000,7.8,73,520708,78.0
6,American Psycho,2000,7.6,64,486231,76.0
7,Unbreakable,2000,7.3,62,385503,73.0
8,Mission: Impossible II,2000,6.1,59,313430,61.0
9,Meet the Parents,2000,7.0,73,310049,70.0
10,"O Brother, Where Art Thou?",2000,7.7,69,284161,77.0
11,Gone in Sixty Seconds,2000,6.5,35,259731,65.0
12,The Patriot,2000,7.2,63,253692,72.0
13,Wo hu cang long,2000,7.8,94,252102,78.0
14,Almost Famous,2000,7.9,90,251509,79.0
15,Scary Movie,2000,6.2,48,231451,62.0
16,Final Destination,2000,6.7,36,228852,67.0
17,Pitch Black,2000,7.1,49,224839,71.0
18,Amores perros,2000,8.1,83,222688,81.0
19,The Beach,2000,6.7,43,222130,67.0
20,"Me, Myself & Irene",2000,6.6,49,221635,66.0
21,How the Grinch Stole Christmas,2000,6.2,46,213918,62.0
22,Remember the Titans,2000,7.8,48,197146,78.0
23,Traffic,2000,7.6,86,195145,76.0
24,What Women Want,2000,6.4,47,191001,64.0
25,Miss Congeniality,2000,6.3,43,186904,63.0
26,The Emperor's New Groove,2000,7.4,70,179261,74.0
27,Chocolat,2000,7.2,64,177221,72.0
28,Chicken Run,2000,7.0,88,176451,70.0
29,Charlie's Angels,2000,5.5,52,175748,55.0
30,Erin Brockovich,2000,7.3,73,173760,73.0
31,Batoru rowaiaru,2000,7.6,81,168482,76.0
32,High Fidelity,2000,7.5,79,167616,75.0
33,Road Trip,2000,6.4,55,157512,64.0
34,The Perfect Storm,2000,6.4,59,155759,64.0
35,"Dude, Where's My Car?",2000,5.5,30,134100,55.0
36,Billy Elliot,2000,7.7,74,126256,77.0
37,Scream 3,2000,5.6,56,123538,56.0
38,Hollow Man,2000,5.8,24,123316,58.0
39,Fa yeung nin wah,2000,8.1,85,123170,81.0
40,Shanghai Noon,2000,6.6,77,118814,66.0
41,What Lies Beneath,2000,6.6,51,117502,66.0
42,The 6th Day,2000,5.9,49,116239,59.0
43,Pay It Forward,2000,7.2,40,112473,72.0
44,The Whole Nine Yards,2000,6.7,47,109725,67.0
45,Men of Honor,2000,7.2,56,106732,72.0
46,Coyote Ugly,2000,5.7,27,106207,57.0
47,The Family Man,2000,6.8,42,103590,68.0
48,Dancer in the Dark,2000,8.0,61,101783,80.0
49,Gladiator,2000,8.5,67,1333828,85.0
